venta_id,fecha,producto,categoria,cantidad,precio_unitario,total,region,vendedor
V00280,2026-08-14,Teclado Mecanico,Tecnologia,7,66.25,463.75,Ambato,L. Ortiz
V00281,2026-08-29,Audifonos Bluetooth,Tecnologia,11,79.11,870.21,Manta,C. Nunez
V00282,2026-06-08,Laptop Pro 14,Tecnologia,7,1381.03,9667.21,Quito,J. Ramirez
V00283,2026-06-28,Aspiradora Robot,Hogar,7,266.38,1864.66,Manta,J. Ramirez
V00284,2026-08-05,Mouse Inalambrico,Tecnologia,7,17.63,123.41,Guayaquil,L. Ortiz
V00285,2026-08-28,Set de Boligrafos,Papeleria,12,6.15,73.8,Manta,A. Torres
V00286,2026-07-16,Monitor 27 4K,Tecnologia,7,328.5,2299.5,Quito,P. Vega
V00287,2026-08-15,Audifonos Bluetooth,Tecnologia,5,78.52,392.6,Cuenca,M. Salazar
V00288,2026-07-16,Mouse Inalambrico,Tecnologia,9,19.1,171.9,Ambato,M. Salazar
V00289,2026-06-18,Lampara LED Escritorio,Oficina,6,22.8,136.8,Guayaquil,M. Salazar
V00290,2026-08-19,Mouse Inalambrico,Tecnologia,3,18.19,54.57,Ambato,M. Salazar
V00291,2026-06-22,Mochila Antirrobo,Accesorios,11,45.4,499.4,Manta,P. Vega
V00292,2026-07-24,Mochila Antirrobo,Accesorios,10,49.61,496.1,Ambato,C. Nunez
V00293,2026-07-06,Zapatillas Running,Deporte,10,89.18,891.8,Cuenca,M. Salazar
V00294,2026-07-06,Set de Boligrafos,Papeleria,2,5.81,11.62,Cuenca,J. Ramirez
V00295,2026-08-29,Aspiradora Robot,Hogar,1,258.9,258.9,Cuenca,P. Vega
V00296,2026-06-16,Set de Boligrafos,Papeleria,1,5.51,5.51,Cuenca,A. Torres
V00297,2026-07-18,Zapatillas Running,Deporte,2,92.59,185.18,Manta,P. Vega
V00298,2026-06-25,Aspiradora Robot,Hogar,9,279.25,2513.25,Quito,P. Vega
V00299,2026-08-05,Lampara LED Escritorio,Oficina,10,23.7,237.0,Ambato,P. Vega
V00300,2026-07-23,Cafetera Espresso,Hogar,3,155.8,467.4,Quito,J. Ramirez
